LeMahieu, DJ	4	19	3	8	2	0	0	0	0	3	0	0	0	0	26	2	0	0.421	0.421	0.421	0.842	1.000
Judge, A	4	13	4	3	3	0	0	2	5	5	0	0	0	0	8	0	0	0.231	0.692	0.444	1.137	1.000
Urshela, G	4	16	2	5	1	1	0	0	2	1	0	0	0	0	3	7	0	0.313	0.375	0.389	0.764	1.000
Torres, G	4	16	2	3	1	1	0	1	2	5	0	0	0	0	5	16	1	0.188	0.438	0.278	0.715	0.955
Encarnacion, E	3	10	0	1	1	0	0	0	0	3	0	0	0	0	10	0	1	0.100	0.100	0.100	0.200	0.909
Sanchez, G	4	17	2	3	5	0	0	2	0	8	0	0	0	0	2	0	0	0.177	0.529	0.176	0.706	1.000
Gardner, B	4	14	1	3	1	1	0	1	1	1	0	1	0	0	11	2	0	0.214	0.500	0.250	0.750	1.000
Gregorius, D	3	9	0	1	0	0	0	0	0	3	0	0	0	0	2	5	1	0.111	0.111	0.111	0.222	0.875
Hicks, A	4	14	2	5	0	3	0	0	1	2	0	0	0	0	5	0	0	0.357	0.571	0.400	0.971	1.000
Voit, L	4	5	1	1	2	0	0	1	1	1	0	1	0	0	2	0	0	0.200	0.800	0.286	1.086	1.000
Maybin, C	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000
Tanaka, M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.000	0.000	0.000	0.000	1.000
Sabathia, CC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000
Tauchman, M	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000
Stanton, G	1	5	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0.400	0.400	0.400	0.800	0.000
Frazier, C	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000
